ID,BMI,Stature,DeltaV,CushionStiffness,LapBeltFriction,LoadLimiter,SeatFriction,ShoulderBeltFriction,AirBagInflation,AirBagVenting,Normalized ChestD,FFL,FFR,HIC
239,41.4,1.79,34.7,0.791176471,0.23,1.292941176,0.67,0.73,1.330666667,1.118,0.033924294,6018.7,6814.8,144.33
240,37.8,1.88,42.8,1.479411765,0.48,1.127058824,1.77,0.86,1.338,0.934666667,0.034133676,7358.5,7241.1,619.81
241,36.38571429,1.87,36.5,0.667647059,0.78,0.812941176,1.26,0.1,1.338,1.345333333,0.042851268,7476.9,8276.7,5.88E+02
242,26.87142857,1.65,26.9,1.602941176,0.85,1.045882353,1.92,0.2,1.338,0.7,0.021757761,2704,2731.2,1.04E+02
243,35.35714286,1.55,47.9,0.923529412,0.71,0.968235294,0.78,0.51,1.338,0.714666667,0.051343017,7899.5,10476,1.34E+03
244,19.92857143,1.61,35,0.897058824,0.55,1.021176471,1.8,1,1.352666667,0.780666667,0.025737825,2498.8,3163.2,174.02
245,32.65714286,1.58,47.6,1.797058824,0.3,1.296470588,1.34,0.41,1.345333333,1.081333333,0.029457714,3915,6115.2,309.15
246,43.71428571,1.72,29.9,0.535294118,0.88,1.031764706,1.35,0.24,1.352666667,1.47,0.03586055,6093.9,4763.3,173.34
247,36.64285714,1.54,46.4,1.444117647,0.83,1.067058824,1.98,0.36,1.367333333,1.624,0.04627344,7524.4,9899.1,627.61
248,28.92857143,1.73,48.2,1.964705882,0.51,0.795294118,1.49,0.99,1.36,1.125333333,0.029076286,5543.2,7285.7,317.42
249,40.62857143,1.6,32.6,0.614705882,0.81,1.081176471,0.64,0.83,1.367333333,1.748666667,0.052251185,7166.9,7955.3,290.86
251,22.5,1.69,20.9,0.817647059,1,1.038823529,0.89,0.66,1.374666667,0.890666667,0.019322506,3643.2,5358.9,54.634
252,22.24285714,1.84,41.9,1.629411765,0.82,0.989411765,1.73,0.63,1.374666667,1.323333333,0.021299854,6492,6994.8,1187.9
253,35.48571429,1.53,25.7,0.597058824,0.65,0.805882353,1.68,1,1.382,1.477333333,0.01678478,3998.3,4686,22.117
254,19.54285714,1.7,49.1,1.197058824,0.77,0.862352941,1.6,0.81,1.382,0.912666667,0.019176052,3757.1,5398.5,263.43
255,30.08571429,1.77,41.3,0.8,0.21,0.767058824,1.3,0.93,1.389333333,1.631333333,0.04636336,5878.2,5455.1,651.35
256,33.17142857,1.8,24.2,1.373529412,0.31,1,1.4,0.83,1.389333333,1.352666667,0.016786967,4316.9,4376.6,112.97
257,28.41428571,1.81,50,0.623529412,0.93,0.954117647,1.91,0.5,1.404,0.949333333,0.040058542,5826.5,8620,365.81
258,42.42857143,1.6,27.5,0.729411765,0.15,1.162352941,1.6,0.96,1.396666667,1.272,0.037499,6413,7885.7,78.62
259,44.22857143,1.71,38,1.964705882,0.58,1.158823529,0.6,0.46,1.404,0.846666667,0.03567857,6985.4,7539.5,129.03
261,33.55714286,1.89,47.9,1.532352941,0.7,0.781176471,1.06,0.61,1.411333333,1.69,0.052902779,8085,8816.9,3877.8
262,25.07142857,1.5,28.4,1.188235294,0.32,0.929411765,1.13,0.58,1.418666667,0.846666667,0.016714866,3558.9,1742.8,261.56
263,25.45714286,1.72,32.3,0.702941176,0.91,0.82,0.53,0.36,1.418666667,0.714666667,0.017459556,4385,6717.6,196.47
264,31.24285714,1.65,28.7,0.747058824,0.53,0.724705882,1.45,0.69,1.426,1.037333333,0.019839128,3838.1,4365.2,57.274
265,26.48571429,1.74,20.3,1.064705882,0.28,0.777647059,1.72,0.87,1.433333333,0.744,0.01420179,3859.5,3758.6,67.68
266,32.52857143,1.7,22.1,1.320588235,0.97,1.172941176,1.96,0.57,1.433333333,1.110666667,0.019084926,3491.2,3957.1,44.733
267,22.62857143,1.62,24.8,1.929411765,0.29,1.056470588,0.73,0.38,1.433333333,1.162,0.022420282,2380.6,2413.8,93.081
